"","response.docs.lead_paragraph"
"674","“We have a rainy-day fund, but it’s raining awfully hard, awfully fast.”"
"675","The Pakistani authorities said Friday that four men had been rearrested in the abduction and killing of the American journalist Daniel Pearl after a court overturned their convictions just the day before. The government will appeal their acquittals to Pakistan’s Supreme Court, officials said."
"676","WASHINGTON — There were just 160 documented cases of the coronavirus in the United States when Representative Raul Ruiz, Democrat of California, told Vice President Mike Pence in a closed-door meeting that President Trump needed to “think about declaring a national emergency.” It took nine more days for Mr. Trump to do so."
"677","Dr. Peter Lee, an emergency room doctor from Montville, N.J., was close to an emotional breakdown by the time he took to WeChat, the social media app, last month."
"678","Development has ground to a halt across New York City. Or has it?"
"679","In 1769, a cargo ship laden with flour, pork and English goods set sail from Salem, Mass., headed to Portland, Maine."
"680","If a sea lion claps at the Bronx Zoo, and no one is around to hear it, does it make a sound?"
"681","The recent misfortune of American businesses — many of which are struggling to raise cash to stay afloat — is creating new moneymaking opportunities for hedge funds and private equity firms, big investors that have been relatively unscathed by the pandemic."
"682","WASHINGTON — President Trump on Friday nominated Judge Justin Walker, a protégé of Senator Mitch McConnell, to a vacancy on the influential United States Court of Appeals for the District of Columbia Circuit, touching off what is likely to be a contentious confirmation fight in the Senate."
"683","Here are more than two dozen recipes to cook in the slow cooker while you’re doing other things — or nothing at all! You could make white bean Parmesan soup (above), chicken tortellini tomato soup, BBQ pulled pork, or any of the recipes in the collection below."
"684","“We have a rainy-day fund, but it’s raining awfully hard, awfully fast.”"
"685","The Pakistani authorities said Friday that four men had been rearrested in the abduction and killing of the American journalist Daniel Pearl after a court overturned their convictions just the day before. The government will appeal their acquittals to Pakistan’s Supreme Court, officials said."
"686","Here is an email from a woman in Alabama to Katie Rosenfeld, a civil rights lawyer in New York, pleading for help for a loved one incarcerated inside an Alabama state prison where the coronavirus is beginning to spread:"
"687","When it became clear last month that former Vice President Joseph R. Biden Jr. would almost certainly win the Democratic nomination, many of the progressive Democrats who supported other presidential candidates were disappointed but not deterred. They quickly shifted their electoral focus to candidates lower on the ballot."
"688","An article on Friday about President Trump’s support for a possible oil deal between Saudi Arabia and Russia misstated the amount of the recent stimulus package. It was $2.2 trillion, not $2.2 billion."
"689","Nearly everyone who survived the 1918 flu pandemic, which claimed at least half a million American lives, has since died. But their memories, preserved in oral history interviews, shed light on its indelible impact. Bustling major cities and rural towns were brought to their knees, as transportation, law enforcement, commerce and civic life were wiped out."
