"","response.docs.lead_paragraph"
"2293","One morning not long ago, I plopped down on a sidewalk in Maradi, Niger, alongside an Islamic judge who was hearing divorce cases at his sidewalk court. He was barefoot and sat on a sheepskin rug as he strained to hear the complainants over the bleating of passing flocks."
"2294","Joseph R. Biden Jr. took command of the Democratic presidential race in decisive fashion on Tuesday, marshaling a powerful multiracial coalition in the South and the Midwest that swept aside Senator Bernie Sanders and completed Mr. Biden’s rapid transformation from a sometimes-fumbling underdog into his party’s likely nominee."
"2295","In the days following news reports about how he used his power to sexually assault women, Harvey Weinstein made a desperate plea for help in emails to two dozen influential people, including the billionaires Michael Bloomberg and Jeff Bezos."
"2296","Just over a week ago, Michael Burke, the chief executive of Louis Vuitton, stood in the darkened space in Paris where his show — the last of fashion month — was about to take place and noted that, despite all the anxiety over the new coronavirus, there had been very few cancellations. He pointed out that many of the hundreds of people in the room had been traveling together and in enclosed spaces for weeks."
"2297","BEIJING — China’s top leader, Xi Jinping, toured Wuhan, the city at the center of a now global epidemic, for the first time since the coronavirus outbreak began, hoping to demonstrate that his government was containing a crisis that has tarnished his image at home and abroad."
"2298","See full results and maps from the Presidential primaries."
"2299","Listen and subscribe to our podcast from your mobile device:Via Apple Podcasts | Via Spotify | Via Stitcher"
"2300","Here is a growing list of public and private schools, as well as colleges and universities, that have suspended or altered classes in the local effort to curb the outbreak."
"2301","A year after the “London Patient” was introduced to the world as only the second person to be cured of H.I.V., he is stepping out of the shadows to reveal his identity: He is Adam Castillejo."
"2302","The scene is a staple of Broadway: After a show ends, its most ardent fans gather at the stage door, hoping for an autograph, an Instagrammable photo, or even a conversation with their favorite star."
"2303","WASHINGTON — Financial markets plunged on Thursday in the biggest one-day drop since the Black Monday stock market crash of 1987, and Congress neared a deal with the White House on a sweeping economic rescue package to respond to the colossal effect of the coronavirus pandemic."
"2304","The coronavirus outbreak has now had an impact on a large climate research expedition in the frozen Arctic Ocean."
"2305","Live Nation Entertainment and AEG Presents, the corporate behemoths that dominate the concert industry, on Thursday suspended all tour engagements in North America in response to the coronavirus pandemic, according to two people with direct knowledge of the companies’ decisions."
"2306","As a national advocate for a nonprofit organization working to protect the rights of L.G.B.T.Q. youth in America, I spend a lot of time looking down on wheat fields from tens of thousands of feet in the air. The constant flights from coast to coast and state capital to state capital give me plenty of time to reflect on the world in which today’s L.G.B.T.Q. young people are growing up."
"2307","More than 45 million children are engaged in youth sports, but an estimated 70 percent will drop out by the time they are 13 years old. Not 5 percent, not 15 percent, but 70 percent."
"2308","“Social distancing” might sound like an emotional phase in early adolescence (it certainly was for me) but in reality, it’s a public health term describing our best defense against the coronavirus."
"2309","BOSTON — First came the tickle in the throat. Then, a hacking cough. Then, a shortness of breath she had never experienced before. Hillary King, a 32-year-old consultant in Boston who lives down the street from a hotel where dozens of Biogen executives contracted the new coronavirus, decided that she had better get tested."
"2310","Update: President Trump declared a state of emergency Friday afternoon."
"2311","Three Turkish men were sentenced this week to 125 years in jail for their part in the drowning of a boy whose death in 2015 became a worldwide symbol of the suffering caused by the Syrian war and the European refugee crisis it triggered."
"2312","Note: Because of the coronavirus outbreak and the state’s ban on gatherings of more than 500 people, many events have been canceled.  Before heading out, visit the website of the performance space or organization for the latest updates."
"2313","WASHINGTON — President Trump on Wednesday night blocked most visitors from continental Europe to the United States and vowed emergency aid to workers and small businesses as the World Health Organization declared the coronavirus a pandemic, stock markets plunged further and millions of people cut themselves off from their regular lives."
